RAL, RGB, HEX, German, English, French, Spanish, Italian, Nederlands,,R,G,B,parsed_col
RAL 2013,195-088-049,#C35831,Perlorange,Pearl orange,Orangé nacré,Naranja perlado,Arancio perlato,Parelmoeroranje,,195,88,49,red
RAL 3000,175-043-030,#AF2B1E,Feuerrot,Flame red,Rouge feu,Rojo vivo,Rosso fuoco,Vuurrood,,175,43,30,red
RAL 3001,165-032-025,#A52019,Signalrot,Signal red,Rouge de sécurité,Rojo señales,Rosso  segnale,Signaalrood,,165,32,25,red
RAL 3002,162-035-029,#A2231D,Karminrot,Carmine red,Rouge carmin,Rojo carmin,Rosso carminio,Karmijnrood,,162,35,29,red
RAL 3003,155-017-030,#9B111E,Rubinrot,Ruby red,Rouge rubis,Rojo rubí,Rosso rubino,Robijnrood,,155,17,30,red
RAL 3004,117-021-030,#75151E,Purpurrot,Purple red,Rouge pourpre,Rojo purpura,Rosso porpora,Purperrood,,117,21,30,red
RAL 3005,094-033-041,#5E2129,Weinrot,Wine red,Rouge vin,Rojo vino,Rosso vino,Wijnrood,,94,33,41,red
RAL 3007,065-034-039,#412227,Schwarzrot,Black red,Rouge noir,Rojo negruzco,Rosso nerastro,Zwartrood,,65,34,39,red
RAL 3009,100-036-036,#642424,Oxidrot,Oxide red,Rouge oxyde,Rojo óxido,Rosso  ossido,Oxyderood,,100,36,36,red
RAL 3011,120-031-025,#781F19,Braunrot,Brown red,Rouge brun,Rojo pardo,Rosso marrone,Bruinrood,,120,31,25,red
RAL 3012,193-135-107,#C1876B,Beigerot,Beige red,Rouge beige,Rojo beige,Rosso beige,Beigerood,,193,135,107,red
RAL 3013,161-035-018,#A12312,Tomatenrot,Tomato red,Rouge tomate,Rojo tomate,Rosso pomodoro,Tomaatrood,,161,35,18,red
RAL 3014,211-110-112,#D36E70,Altrosa,Antique pink,Vieux rose,Rojo viejo,Rosa antico,Oudroze,,211,110,112,red
RAL 3015,234-137-154,#EA899A,Hellrosa,Light pink,Rose clair,Rosa claro,Rosa chiaro,Lichtroze,,234,137,154,red
RAL 3016,179-040-033,#B32821,Korallenrot,Coral red,Rouge corail,Rojo coral,Rosso corallo,Koraalrood,,179,40,33,red
RAL 3017,230-050-068,#E63244,Rosé,Rose,Rosé,Rosa,Rosato,Bleekrood,,230,50,68,red
RAL 3018,213-048-050,#D53032,Erdbeerrot,Strawberry red,Rouge fraise,Rojo fresa,Rosso fragola,Aardbeirood,,213,48,50,red
RAL 3020,204-006-005,#CC0605,Verkehrsrot,Traffic red,Rouge signalisation,Rojo tráfico,Rosso traffico,Verkeersrood,,204,6,5,red
RAL 3022,217-080-048,#D95030,Lachsrot,Salmon pink,Rouge saumon,Rojo salmón,Rosso salmone,Zalmrood,,217,80,48,red
RAL 3024,248-000-000,#F80000,Leuchtrot,Luminous red,Rouge brillant,Rojo brillante,Rosso brillante,Briljantrood,,248,0,0,red
RAL 3026,254-000-000,#FE0000,Leuchthellrot,Luminous bright red,Rouge clair brillant,Rojo claro brillante,Rosso chiaro brillante,Briljant lichtrood,,254,0,0,red
RAL 3027,197-029-052,#C51D34,Himbeerrot,Raspberry red,Rouge framboise,Rojo frambuesa,Rosso lampone,Framboosrood,,197,29,52,red
RAL 3028,203-050-052,#CB3234,Reinrot,Pure  red,Rouge puro,Rojo puro,Rosso puro,Zuiverrood,,203,50,52,red
RAL 3031,179-036-040,#B32428,Orientrot,Orient red,Rouge oriental,Rojo oriente,Rosso oriente,Oriëntrood,,179,36,40,red
RAL 3032,114-020-034,#721422,Perlrubinrot,Pearl ruby red,Rouge rubis nacré,Rojo rubí perlado,Rosso rubino perlato,Parelmoer-donkerrood,,114,20,34,red
RAL 3033,180-076-067,#B44C43,Perlrosa,Pearl pink,Rose nacré,Rosa perlado,Rosa perlato,Parelmoer-lichtrood,,180,76,67,red
RAL 4001,222-076-138,#6D3F5B,Rotlila,Red lilac,Lilas rouge,Rojo lila,Lilla rossastro,Roodlila,,222,76,138,red
RAL 4002,146-043-062,#922B3E,Rotviolett,Red violet,Violet rouge,Rojo violeta,Viola rossastro,Roodpaars,,146,43,62,red
RAL 4003,222-076-138,#DE4C8A,Erikaviolett,Heather violet,Violet bruyère,Violeta érica,Viola erica,Heidepaars,,222,76,138,red
RAL 4004,110-028-052,#641C34,Bordeauxviolett,Claret violet,Violet bordeaux,Burdeos,Viola bordeaux,Bordeauxpaars,,110,28,52,red
RAL 4005,108-070-117,#6C4675,Blaulila,Blue lilac,Lilas bleu,Lila azulado,Lilla bluastro,Blauwlila,,108,70,117,blue
RAL 4006,160-052-114,#A03472,Verkehrspurpur,Traffic purple,Pourpre signalisation,Púrpurá tráfico,Porpora traffico,Verkeerspurper,,160,52,114,red
RAL 4007,074-025-044,#4A192C,Purpurviolett,Purple violet,Violet pourpre,Violeta púrpura,Porpora violetto,Purperviolet,,74,25,44,red
RAL 4008,144-070-132,#924E7D,Signalviolett,Signal violet,Violet de sécurité,Violeta señales,Violetto segnale,Signaalviolet,,144,70,132,red
