R,G,B,parsed_col_sec,R,G,B,C=G+B,M=R+B,Y=R+G,K=R+G+B
73,151,208,B,0,0,1,0,0,0,0
222,49,99,R,1,0,0,0,0,0,0
236,59,131,R,1,0,0,0,0,0,0
0,123,167,B,0,0,1,0,0,0,0
42,82,190,B,0,0,1,0,0,0,0
109,155,195,B,0,0,1,0,0,0,0
0,122,165,B,0,0,1,0,0,0,0
224,60,49,R,1,0,0,0,0,0,0
160,120,90,R,1,0,0,0,0,0,0
250,214,165,R,1,0,0,0,0,0,0
54,69,79,B,0,0,1,0,0,0,0
230,143,172,R,1,0,0,0,0,0,0
223,255,0,G,0,1,0,0,0,0,0
127,255,0,G,0,1,0,0,0,0,0
222,49,99,R,1,0,0,0,0,0,0
255,183,197,R,1,0,0,0,0,0,0
205,92,92,R,1,0,0,0,0,0,0
222,111,161,R,1,0,0,0,0,0,0
168,81,110,R,1,0,0,0,0,0,0
170,56,30,R,1,0,0,0,0,0,0
123,63,0,R,1,0,0,0,0,0,0
210,105,30,R,1,0,0,0,0,0,0
255,167,0,R,1,0,0,0,0,0,0
152,129,123,R,1,0,0,0,0,0,0
227,66,52,R,1,0,0,0,0,0,0
210,105,30,R,1,0,0,0,0,0,0
228,208,10,R,1,0,0,0,0,0,0
251,204,231,R,1,0,0,0,0,0,0
0,71,171,B,0,0,1,0,0,0,0
210,105,30,R,1,0,0,0,0,0,0
111,78,55,R,1,0,0,0,0,0,0
155,221,255,B,0,0,1,0,0,0,0
248,131,121,R,1,0,0,0,0,0,0
0,46,99,B,0,0,1,0,0,0,0
140,146,172,B,0,0,1,0,0,0,0
184,115,51,R,1,0,0,0,0,0,0
218,138,103,R,1,0,0,0,0,0,0
173,111,105,R,1,0,0,0,0,0,0
203,109,81,R,1,0,0,0,0,0,0
153,102,102,R,1,0,0,0,0,0,0
255,56,0,R,1,0,0,0,0,0,0
255,127,80,R,1,0,0,0,0,0,0
248,131,121,R,1,0,0,0,0,0,0
255,64,64,R,1,0,0,0,0,0,0
137,63,69,R,1,0,0,0,0,0,0
251,236,93,R,1,0,0,0,0,0,0
179,27,27,R,1,0,0,0,0,0,0
100,149,237,B,0,0,1,0,0,0,0
255,248,220,R,1,0,0,0,0,0,0
255,248,231,R,1,0,0,0,0,0,0
255,188,217,R,1,0,0,0,0,0,0
255,253,208,R,1,0,0,0,0,0,0
220,20,60,R,1,0,0,0,0,0,0
190,0,50,R,1,0,0,0,0,0,0
0,255,255,C,0,0,0,1,0,0,0
0,183,235,B,0,0,1,0,0,0,0
255,255,49,Y,0,0,0,0,0,1,0
240,225,48,R,1,0,0,0,0,0,0
0,0,139,B,0,0,1,0,0,0,0
101,67,33,R,1,0,0,0,0,0,0
93,57,84,R,1,0,0,0,0,0,0
