R,G,B,parsed_col_sec,R,G,B,C=G+B,M=R+B,Y=R+G,K=R+G+B
1,121,111,G,0,1,0,0,0,0,0
255,192,203,R,1,0,0,0,0,0,0
255,221,244,R,1,0,0,0,0,0,0
255,153,102,R,1,0,0,0,0,0,0
231,172,207,R,1,0,0,0,0,0,0
247,143,167,R,1,0,0,0,0,0,0
147,197,114,G,0,1,0,0,0,0,0
229,228,226,R,1,0,0,0,0,0,0
142,69,133,R,1,0,0,0,0,0,0
221,160,221,M,0,0,0,0,1,0,0
255,90,54,R,1,0,0,0,0,0,0
176,224,230,B,0,0,1,0,0,0,0
255,143,0,R,1,0,0,0,0,0,0
112,28,28,R,1,0,0,0,0,0,0
0,49,83,B,0,0,1,0,0,0,0
223,0,255,B,0,0,1,0,0,0,0
204,136,153,R,1,0,0,0,0,0,0
255,117,24,R,1,0,0,0,0,0,0
105,53,156,B,0,0,1,0,0,0,0
128,0,128,M,0,0,0,0,1,0,0
150,120,182,B,0,0,1,0,0,0,0
159,0,197,B,0,0,1,0,0,0,0
254,78,218,R,1,0,0,0,0,0,0
80,64,77,R,1,0,0,0,0,0,0
160,32,240,B,0,0,1,0,0,0,0
81,72,79,R,1,0,0,0,0,0,0
93,138,168,B,0,0,1,0,0,0,0
255,53,94,R,1,0,0,0,0,0,0
251,171,96,R,1,0,0,0,0,0,0
227,11,93,R,1,0,0,0,0,0,0
145,95,109,R,1,0,0,0,0,0,0
226,80,152,R,1,0,0,0,0,0,0
179,68,108,R,1,0,0,0,0,0,0
130,102,68,R,1,0,0,0,0,0,0
255,51,204,R,1,0,0,0,0,0,0
227,37,107,R,1,0,0,0,0,0,0
255,0,0,R,1,0,0,0,0,0,0
165,42,42,R,1,0,0,0,0,0,0
134,1,17,R,1,0,0,0,0,0,0
242,0,60,R,1,0,0,0,0,0,0
196,2,51,R,1,0,0,0,0,0,0
255,83,73,R,1,0,0,0,0,0,0
237,28,36,R,1,0,0,0,0,0,0
254,39,18,R,1,0,0,0,0,0,0
199,21,133,R,1,0,0,0,0,0,0
171,78,82,R,1,0,0,0,0,0,0
82,45,128,B,0,0,1,0,0,0,0
0,35,135,B,0,0,1,0,0,0,0
0,64,64,C,0,0,0,1,0,0,0
241,167,254,B,0,0,1,0,0,0,0
215,0,64,R,1,0,0,0,0,0,0
8,146,208,B,0,0,1,0,0,0,0
167,107,207,B,0,0,1,0,0,0,0
182,102,210,B,0,0,1,0,0,0,0
176,48,96,R,1,0,0,0,0,0,0
65,72,51,G,0,1,0,0,0,0,0
0,204,204,C,0,0,0,1,0,0,0
255,0,127,R,1,0,0,0,0,0,0
249,66,158,R,1,0,0,0,0,0,0
103,72,70,R,1,0,0,0,0,0,0
183,110,121,R,1,0,0,0,0,0,0
227,38,54,R,1,0,0,0,0,0,0
255,102,204,R,1,0,0,0,0,0,0
170,152,169,R,1,0,0,0,0,0,0
144,93,93,R,1,0,0,0,0,0,0
171,78,82,R,1,0,0,0,0,0,0
101,0,11,R,1,0,0,0,0,0,0
212,0,0,R,1,0,0,0,0,0,0
188,143,143,R,1,0,0,0,0,0,0
0,56,168,B,0,0,1,0,0,0,0
0,35,102,B,0,0,1,0,0,0,0
65,105,225,B,0,0,1,0,0,0,0
202,44,146,R,1,0,0,0,0,0,0
120,81,169,B,0,0,1,0,0,0,0
250,218,94,R,1,0,0,0,0,0,0
209,0,86,R,1,0,0,0,0,0,0
224,17,95,R,1,0,0,0,0,0,0
155,17,30,R,1,0,0,0,0,0,0
255,0,40,R,1,0,0,0,0,0,0
187,101,40,R,1,0,0,0,0,0,0
225,142,150,R,1,0,0,0,0,0,0
168,28,7,R,1,0,0,0,0,0,0
128,70,27,R,1,0,0,0,0,0,0
183,65,14,R,1,0,0,0,0,0,0
218,44,67,R,1,0,0,0,0,0,0
0,86,63,G,0,1,0,0,0,0,0
139,69,19,R,1,0,0,0,0,0,0
255,103,0,R,1,0,0,0,0,0,0
244,196,48,R,1,0,0,0,0,0,0
255,140,105,R,1,0,0,0,0,0,0
255,145,164,R,1,0,0,0,0,0,0
194,178,128,R,1,0,0,0,0,0,0
150,113,23,R,1,0,0,0,0,0,0
236,213,64,R,1,0,0,0,0,0,0
244,164,96,R,1,0,0,0,0,0,0
150,113,23,R,1,0,0,0,0,0,0
146,0,10,R,1,0,0,0,0,0,0
80,125,42,G,0,1,0,0,0,0,0
15,82,186,B,0,0,1,0,0,0,0
0,103,165,B,0,0,1,0,0,0,0
203,161,53,R,1,0,0,0,0,0,0
255,36,0,R,1,0,0,0,0,0,0
253,14,53,R,1,0,0,0,0,0,0
255,216,0,R,1,0,0,0,0,0,0
118,255,122,G,0,1,0,0,0,0,0
0,105,148,B,0,0,1,0,0,0,0
46,139,87,G,0,1,0,0,0,0,0
50,20,20,R,1,0,0,0,0,0,0
255,245,238,R,1,0,0,0,0,0,0
255,186,0,R,1,0,0,0,0,0,0
112,66,20,R,1,0,0,0,0,0,0
138,121,93,R,1,0,0,0,0,0,0
0,158,96,G,0,1,0,0,0,0,0
252,15,192,R,1,0,0,0,0,0,0
255,111,255,M,0,0,0,0,1,0,0
136,45,23,R,1,0,0,0,0,0,0
192,192,192,K,0,0,0,0,0,0,1
203,65,11,R,1,0,0,0,0,0,0
0,116,116,C,0,0,0,1,0,0,0
135,206,235,B,0,0,1,0,0,0,0
207,113,175,R,1,0,0,0,0,0,0
106,90,205,B,0,0,1,0,0,0,0
112,128,144,B,0,0,1,0,0,0,0
0,51,153,B,0,0,1,0,0,0,0
147,61,65,R,1,0,0,0,0,0,0
16,12,8,R,1,0,0,0,0,0,0
255,250,250,R,1,0,0,0,0,0,0
15,192,252,B,0,0,1,0,0,0,0
167,252,0,G,0,1,0,0,0,0,0
0,255,127,G,0,1,0,0,0,0,0
35,41,122,B,0,0,1,0,0,0,0
70,130,180,B,0,0,1,0,0,0,0
250,218,94,R,1,0,0,0,0,0,0
153,0,0,R,1,0,0,0,0,0,0
79,102,106,B,0,0,1,0,0,0,0
228,217,111,R,1,0,0,0,0,0,0
255,204,51,R,1,0,0,0,0,0,0
250,214,165,R,1,0,0,0,0,0,0
210,180,140,R,1,0,0,0,0,0,0
249,77,0,R,1,0,0,0,0,0,0
242,133,0,R,1,0,0,0,0,0,0
255,204,0,R,1,0,0,0,0,0,0
228,113,122,R,1,0,0,0,0,0,0
72,60,50,R,1,0,0,0,0,0,0
139,133,137,R,1,0,0,0,0,0,0
208,240,192,G,0,1,0,0,0,0,0
248,131,121,R,1,0,0,0,0,0,0
244,194,194,R,1,0,0,0,0,0,0
0,128,128,C,0,0,0,1,0,0,0
54,117,136,B,0,0,1,0,0,0,0
0,130,127,G,0,1,0,0,0,0,0
207,52,118,R,1,0,0,0,0,0,0
205,87,0,R,1,0,0,0,0,0,0
226,114,91,R,1,0,0,0,0,0,0
216,191,216,M,0,0,0,0,1,0,0
222,111,161,R,1,0,0,0,0,0,0
252,137,172,R,1,0,0,0,0,0,0
10,186,181,G,0,1,0,0,0,0,0
224,141,60,R,1,0,0,0,0,0,0
219,215,210,R,1,0,0,0,0,0,0
238,230,0,R,1,0,0,0,0,0,0
255,99,71,R,1,0,0,0,0,0,0
116,108,192,B,0,0,1,0,0,0,0
255,200,124,R,1,0,0,0,0,0,0
253,14,53,R,1,0,0,0,0,0,0
128,128,128,K,0,0,0,0,0,0,1
0,117,94,G,0,1,0,0,0,0,0
0,115,207,B,0,0,1,0,0,0,0
65,125,193,B,0,0,1,0,0,0,0
222,170,136,R,1,0,0,0,0,0,0
181,114,129,R,1,0,0,0,0,0,0
48,213,200,G,0,1,0,0,0,0,0
0,255,239,G,0,1,0,0,0,0,0
160,214,180,G,0,1,0,0,0,0,0
124,72,72,R,1,0,0,0,0,0,0
138,73,107,R,1,0,0,0,0,0,0
102,2,60,R,1,0,0,0,0,0,0
0,51,170,B,0,0,1,0,0,0,0
217,0,76,R,1,0,0,0,0,0,0
136,120,195,B,0,0,1,0,0,0,0
83,104,149,B,0,0,1,0,0,0,0
255,179,0,R,1,0,0,0,0,0,0
60,208,112,G,0,1,0,0,0,0,0
255,111,255,M,0,0,0,0,1,0,0
18,10,143,B,0,0,1,0,0,0,0
65,102,245,B,0,0,1,0,0,0,0
99,81,71,R,1,0,0,0,0,0,0
255,221,202,R,1,0,0,0,0,0,0
91,146,229,B,0,0,1,0,0,0,0
183,135,39,R,1,0,0,0,0,0,0
255,255,102,Y,0,0,0,0,0,1,0
1,68,33,G,0,1,0,0,0,0,0
123,17,19,R,1,0,0,0,0,0,0
174,32,41,R,1,0,0,0,0,0,0
225,173,33,R,1,0,0,0,0,0,0
0,79,152,B,0,0,1,0,0,0,0
153,0,0,R,1,0,0,0,0,0,0
255,204,0,R,1,0,0,0,0,0,0
211,0,63,R,1,0,0,0,0,0,0
243,229,171,R,1,0,0,0,0,0,0
197,179,88,R,1,0,0,0,0,0,0
200,8,21,R,1,0,0,0,0,0,0
67,179,174,G,0,1,0,0,0,0,0
227,66,52,R,1,0,0,0,0,0,0
217,96,59,R,1,0,0,0,0,0,0
160,32,240,B,0,0,1,0,0,0,0
143,0,255,B,0,0,1,0,0,0,0
50,74,178,B,0,0,1,0,0,0,0
127,0,255,B,0,0,1,0,0,0,0
134,1,175,B,0,0,1,0,0,0,0
238,130,238,M,0,0,0,0,1,0,0
64,130,109,G,0,1,0,0,0,0,0
146,39,36,R,1,0,0,0,0,0,0
159,29,53,R,1,0,0,0,0,0,0
218,29,129,R,1,0,0,0,0,0,0
255,160,137,R,1,0,0,0,0,0,0
159,0,255,B,0,0,1,0,0,0,0
0,66,66,C,0,0,0,1,0,0,0
164,244,249,B,0,0,1,0,0,0,0
100,84,82,R,1,0,0,0,0,0,0
245,222,179,R,1,0,0,0,0,0,0
255,255,255,K,0,0,0,0,0,0,1
245,245,245,K,0,0,0,0,0,0,1
162,173,208,B,0,0,1,0,0,0,0
255,67,164,R,1,0,0,0,0,0,0
252,108,133,R,1,0,0,0,0,0,0
114,47,55,R,1,0,0,0,0,0,0
103,49,71,R,1,0,0,0,0,0,0
201,160,220,B,0,0,1,0,0,0,0
193,154,107,R,1,0,0,0,0,0,0
115,134,120,G,0,1,0,0,0,0,0
15,77,146,B,0,0,1,0,0,0,0
255,255,0,Y,0,0,0,0,0,1,0
154,205,50,G,0,1,0,0,0,0,0
239,204,0,R,1,0,0,0,0,0,0
255,211,0,R,1,0,0,0,0,0,0
255,174,66,R,1,0,0,0,0,0,0
255,239,0,R,1,0,0,0,0,0,0
254,254,51,Y,0,0,0,0,0,1,0
0,20,168,B,0,0,1,0,0,0,0
44,22,8,R,1,0,0,0,0,0,0
